mtu,baseline,RUSB,sigRUS
8700,1008.601,1002.948,1001.846
8710,1008.981,1001.104,1002.876
8720,1009.131,1001.928,1003.294
8730,1000.760,1002.959,1003.607
8740,999.019,1003.641,1000.590
8750,999.899,1002.069,1002.392
8760,1001.032,1002.967,1003.191
8770,999.691,1002.284,996.583
8780,999.123,1003.226,1001.029
8790,999.060,1000.925,1000.462
8800,1000.173,1000.775,1002.332
8810,1001.346,1002.856,996.250
8820,997.992,993.504,995.408
8830,991.303,992.138,994.966
8840,990.464,991.370,996.536
8850,991.450,993.049,993.670
8860,990.359,992.691,986.119
8870,989.309,984.707,985.867
8880,990.065,986.500,985.994
8890,984.340,984.573,984.675
8900,982.559,986.861,984.884
8910,983.607,984.954,985.996
8920,981.761,984.832,985.385
8930,980.818,984.393,985.344
8940,981.511,972.887,984.466
8950,982.432,974.181,985.050
8960,983.712,975.533,984.966
8970,980.231,975.916,982.466
8980,972.847,976.201,974.860
8990,972.744,975.381,975.176
9000,972.892,973.909,967.898
