mtu,baseline,scout
7970,955.581,955.366
7980,955.659,955.347
7990,955.648,955.312
8000,955.665,955.308
8010,955.685,955.304
8020,955.665,955.345
8030,955.684,955.316
8040,955.697,955.321
8050,955.738,955.282
8060,955.69,955.286
8070,955.604,955.279
8080,955.584,955.242
8090,955.62,955.237
8100,955.694,955.236
8110,955.775,955.201
8120,955.811,955.216
8130,955.9,955.169
8140,955.915,955.126
8150,955.882,955.106
8160,955.893,955.156
8170,955.884,955.113
8180,955.91,955.143
8190,955.909,955.15
8200,955.942,955.142
8210,955.981,955.146
8220,956.024,955.134
8230,956.029,955.132
8240,955.994,955.09
8250,955.964,955.135
8260,956.01,955.134
8270,956.015,955.151
8280,955.988,955.192
8290,955.957,955.175
8300,955.888,955.182
8310,955.875,955.191
8320,955.927,955.148
8330,955.966,955.188
8340,956.012,955.234
8350,955.998,955.226
8360,956.034,955.243
8370,956.082,955.254
8380,956.079,955.268
8390,956.05,955.318
8400,956.007,955.32
8410,955.872,955.33
8420,955.823,955.369
8430,955.707,955.381
8440,955.674,955.386
8450,955.64,955.377
8460,955.59,955.334
8470,955.61,955.382
8480,955.584,955.371
8490,955.619,955.371
8500,955.637,955.406
8510,955.593,955.413
8520,955.535,955.436
8530,955.478,955.429
8540,955.526,955.457
8550,955.519,955.421
8560,955.475,955.43
8570,955.45,955.434
8580,955.455,955.401
8590,955.491,955.437
8600,955.503,955.435
8610,955.545,955.463
8620,955.551,955.501
8630,955.485,955.503
8640,955.476,955.456
8650,955.447,955.463
8660,955.404,955.451
8670,955.399,955.441
8680,955.398,955.42
8690,955.408,955.399
8700,955.413,955.407
8710,955.41,955.44
